ckpt,step_env,episode,T,boundary_rate,update_count,A_copy_mean,A_copy_std,A_copy_p99,A_update_mean,A_update_std,A_update_p99,A_update_over_copy_mean,B_seg_mean,B_seg_median,B_seg_p90,B_seg_count,B_boundary_at_reward,B_reward_near_boundary,B_boundary_at_terminal,B_terminal_near_boundary,abs_kl_pre_mean,abs_kl_post_mean,abs_kl_post_minus_pre,obs_kl_pre_mean,obs_kl_post_mean,obs_kl_post_minus_pre,abs_pred_err_pre_mean,abs_pred_err_post_mean,abs_pred_err_post_minus_pre,obs_pred_err_pre_mean,obs_pred_err_post_mean,obs_pred_err_post_minus_pre
step-000006250.pt,25000,/home/haselab/projects/stable-deep-world-model/logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/eval_eps/20260208T112218-d487738a3d2d4e52912f19c8b084e1d0-27001.npz,27001,0.007629347061219955,206,0.04322339966893196,0.565669059753418,0.0,0.7816698551177979,2.0199222564697266,6.68878173828125,18.084414023537466,131.07281494140625,116.0,239.0,206,0.0,0.0,0.0,0.0,98.81657409667969,77.93376159667969,-20.8828125,22.81715965270996,21.30178451538086,-1.5153751373291016,5.4558424949646,4.944838523864746,-0.5110039710998535,3.773031234741211,3.7514290809631348,-0.021602153778076172
step-000012500.pt,50000,/home/haselab/projects/stable-deep-world-model/logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/eval_eps/20260208T112218-d487738a3d2d4e52912f19c8b084e1d0-27001.npz,27001,0.00718491907707122,194,0.04553576931357384,0.5791186094284058,0.0,0.6191214919090271,1.7333053350448608,5.764016628265381,13.59637711719679,139.180419921875,138.5,239.0,194,0.0,0.0,0.0,0.0,258.0025634765625,222.6108856201172,-35.39167785644531,18.155948638916016,21.28231430053711,3.1263656616210938,6.154018402099609,5.688377857208252,-0.4656405448913574,3.939753770828247,4.757417678833008,0.8176639080047607
step-000018750.pt,75000,/home/haselab/projects/stable-deep-world-model/logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/eval_eps/20260208T112218-d487738a3d2d4e52912f19c8b084e1d0-27001.npz,27001,0.007370097403799859,199,0.04560520499944687,0.5786561965942383,0.0,0.7522574067115784,1.9013855457305908,5.883418560028076,16.494990138092838,135.68341064453125,118.0,239.0,199,0.0,0.0,0.0,0.0,391.9234924316406,343.58221435546875,-48.341278076171875,20.13978385925293,24.046283721923828,3.9064998626708984,5.947784423828125,5.575381755828857,-0.3724026679992676,4.157805442810059,5.078490257263184,0.920684814453125
step-000025000.pt,100000,/home/haselab/projects/stable-deep-world-model/logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/eval_eps/20260208T112218-d487738a3d2d4e52912f19c8b084e1d0-27001.npz,27001,0.006555312766193844,177,0.0412796251475811,0.5311955809593201,0.0,0.2009848654270172,0.8723243474960327,4.340047836303711,4.86886362723656,152.5480194091797,185.0,239.0,177,0.0,0.0,0.0,0.0,496.17816162109375,458.6974182128906,-37.480743408203125,20.801265716552734,28.377288818359375,7.576023101806641,5.335042476654053,5.181382179260254,-0.15366029739379883,4.326581001281738,4.9266743659973145,0.6000933647155762
step-000031250.pt,125000,/home/haselab/projects/stable-deep-world-model/logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/eval_eps/20260208T112218-d487738a3d2d4e52912f19c8b084e1d0-27001.npz,27001,0.006370134439465205,172,0.039665184915065765,0.5171278119087219,0.0,0.18631884455680847,0.9055556058883667,4.646230220794678,4.69728919594776,156.98255920410156,226.5,239.0,172,0.0,0.0,0.0,0.0,245.00302124023438,230.3648681640625,-14.638153076171875,24.960973739624023,38.04161834716797,13.080644607543945,5.471726417541504,5.399456977844238,-0.07226943969726562,4.280933856964111,4.644888877868652,0.363955020904541
step-000037500.pt,150000,/home/haselab/projects/stable-deep-world-model/logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/eval_eps/20260208T112218-d487738a3d2d4e52912f19c8b084e1d0-27001.npz,27001,0.0074071330691455875,200,0.039243292063474655,0.4973340630531311,0.0,0.5976668000221252,1.455698013305664,4.4702534675598145,15.229782431489694,135.0050048828125,118.0,239.0,200,0.0,0.0,0.0,0.0,393.97991943359375,341.7486877441406,-52.231231689453125,24.775432586669922,33.8930778503418,9.117645263671875,5.345816135406494,5.001803874969482,-0.3440122604370117,3.8131701946258545,4.566168785095215,0.7529985904693604
step-000043750.pt,175000,/home/haselab/projects/stable-deep-world-model/logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/eval_eps/20260208T112218-d487738a3d2d4e52912f19c8b084e1d0-27001.npz,27001,0.007221954742416947,195,0.03753463923931122,0.4828464090824127,0.0,0.5908008813858032,1.4488524198532104,4.5773091316223145,15.740150787623362,138.46665954589844,129.0,239.0,195,0.0,0.0,0.0,0.0,439.8909606933594,385.8055114746094,-54.08544921875,29.72003746032715,41.20813751220703,11.488100051879883,5.313507556915283,4.997883319854736,-0.3156242370605469,3.7385170459747314,4.492249965667725,0.7537329196929932
step-000050000.pt,200000,/home/haselab/projects/stable-deep-world-model/logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/eval_eps/20260208T112218-d487738a3d2d4e52912f19c8b084e1d0-27001.npz,27001,0.006666419762231028,180,0.04061077535152435,0.5176807641983032,0.0,0.21427717804908752,0.9371392726898193,4.377211570739746,5.276362644995511,150.00555419921875,172.5,239.0,180,0.0,0.0,0.0,0.0,395.7906494140625,372.865966796875,-22.9246826171875,29.09617042541504,44.76612091064453,15.669950485229492,5.352779388427734,5.184027194976807,-0.16875219345092773,3.8294434547424316,4.1962571144104,0.36681365966796875
step-000056250.pt,225000,/home/haselab/projects/stable-deep-world-model/logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/eval_eps/20260208T112218-d487738a3d2d4e52912f19c8b084e1d0-27001.npz,27001,0.007036776415688308,190,0.04224006086587906,0.5350020527839661,0.0,0.4285932779312134,1.3297755718231201,4.96251916885376,10.146606542355272,142.1105194091797,149.5,239.0,190,0.0,0.0,0.0,0.0,333.33489990234375,318.717529296875,-14.61737060546875,35.10331344604492,44.41189193725586,9.308578491210938,5.628717422485352,5.452212333679199,-0.17650508880615234,3.5167477130889893,4.044044494628906,0.527296781539917
step-000062500.pt,250000,/home/haselab/projects/stable-deep-world-model/logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/eval_eps/20260208T112218-d487738a3d2d4e52912f19c8b084e1d0-27001.npz,27001,0.006370134439465205,172,0.040982864797115326,0.5261412262916565,0.0,0.06394246965646744,0.48047512769699097,3.5136566162109375,1.5602244980435866,156.98255920410156,226.5,239.0,172,0.0,0.0,0.0,0.0,392.852294921875,387.74908447265625,-5.10321044921875,35.45340347290039,49.19811248779297,13.744709014892578,5.617334842681885,5.581128120422363,-0.036206722259521484,3.479113817214966,3.941375255584717,0.462261438369751
