ckpt,metric,offset,value
step-000006250.pt,abs_kl,-10,100.73473358154297
step-000006250.pt,abs_kl,-9,100.60831451416016
step-000006250.pt,abs_kl,-8,99.9149398803711
step-000006250.pt,abs_kl,-7,98.95958709716797
step-000006250.pt,abs_kl,-6,98.1019058227539
step-000006250.pt,abs_kl,-5,98.07622528076172
step-000006250.pt,abs_kl,-4,99.29084777832031
step-000006250.pt,abs_kl,-3,100.54464721679688
step-000006250.pt,abs_kl,-2,100.13349914550781
step-000006250.pt,abs_kl,-1,91.8010482788086
step-000006250.pt,abs_kl,0,76.6075439453125
step-000006250.pt,abs_kl,1,77.7698745727539
step-000006250.pt,abs_kl,2,75.96791076660156
step-000006250.pt,abs_kl,3,77.85960388183594
step-000006250.pt,abs_kl,4,77.73370361328125
step-000006250.pt,abs_kl,5,79.28461456298828
step-000006250.pt,abs_kl,6,80.91618347167969
step-000006250.pt,abs_kl,7,77.4476089477539
step-000006250.pt,abs_kl,8,76.22418975830078
step-000006250.pt,abs_kl,9,77.43025207519531
step-000006250.pt,abs_kl,10,78.70359802246094
step-000006250.pt,obs_kl,-10,24.71177864074707
step-000006250.pt,obs_kl,-9,21.765302658081055
step-000006250.pt,obs_kl,-8,22.552017211914062
step-000006250.pt,obs_kl,-7,23.42769432067871
step-000006250.pt,obs_kl,-6,23.893877029418945
step-000006250.pt,obs_kl,-5,21.495420455932617
step-000006250.pt,obs_kl,-4,21.022994995117188
step-000006250.pt,obs_kl,-3,21.71700096130371
step-000006250.pt,obs_kl,-2,22.343063354492188
step-000006250.pt,obs_kl,-1,25.242448806762695
step-000006250.pt,obs_kl,0,30.39322280883789
step-000006250.pt,obs_kl,1,24.179658889770508
step-000006250.pt,obs_kl,2,22.656511306762695
step-000006250.pt,obs_kl,3,18.782121658325195
step-000006250.pt,obs_kl,4,20.93217658996582
step-000006250.pt,obs_kl,5,22.882381439208984
step-000006250.pt,obs_kl,6,22.094362258911133
step-000006250.pt,obs_kl,7,20.250070571899414
step-000006250.pt,obs_kl,8,18.709461212158203
step-000006250.pt,obs_kl,9,21.18609046936035
step-000006250.pt,obs_kl,10,21.34498405456543
step-000006250.pt,abs_pred_err,-10,5.517632961273193
step-000006250.pt,abs_pred_err,-9,5.538538455963135
step-000006250.pt,abs_pred_err,-8,5.519863128662109
step-000006250.pt,abs_pred_err,-7,5.4707794189453125
step-000006250.pt,abs_pred_err,-6,5.448878765106201
step-000006250.pt,abs_pred_err,-5,5.425893306732178
step-000006250.pt,abs_pred_err,-4,5.477623462677002
step-000006250.pt,abs_pred_err,-3,5.526043891906738
step-000006250.pt,abs_pred_err,-2,5.526915073394775
step-000006250.pt,abs_pred_err,-1,5.106255531311035
step-000006250.pt,abs_pred_err,0,4.916858673095703
step-000006250.pt,abs_pred_err,1,5.049014091491699
step-000006250.pt,abs_pred_err,2,4.985459804534912
step-000006250.pt,abs_pred_err,3,4.917314529418945
step-000006250.pt,abs_pred_err,4,4.942522048950195
step-000006250.pt,abs_pred_err,5,4.976525783538818
step-000006250.pt,abs_pred_err,6,4.969163417816162
step-000006250.pt,abs_pred_err,7,4.934296607971191
step-000006250.pt,abs_pred_err,8,4.89172887802124
step-000006250.pt,abs_pred_err,9,4.857273578643799
step-000006250.pt,abs_pred_err,10,4.925090789794922
step-000006250.pt,obs_pred_err,-10,3.791499137878418
step-000006250.pt,obs_pred_err,-9,3.6355843544006348
step-000006250.pt,obs_pred_err,-8,3.816662311553955
step-000006250.pt,obs_pred_err,-7,3.873697519302368
step-000006250.pt,obs_pred_err,-6,3.90765380859375
step-000006250.pt,obs_pred_err,-5,3.5392143726348877
step-000006250.pt,obs_pred_err,-4,3.5430712699890137
step-000006250.pt,obs_pred_err,-3,3.8624355792999268
step-000006250.pt,obs_pred_err,-2,3.7638370990753174
step-000006250.pt,obs_pred_err,-1,3.996659517288208
step-000006250.pt,obs_pred_err,0,5.310603618621826
step-000006250.pt,obs_pred_err,1,4.926740646362305
step-000006250.pt,obs_pred_err,2,3.0577237606048584
step-000006250.pt,obs_pred_err,3,3.7359395027160645
step-000006250.pt,obs_pred_err,4,3.3226664066314697
step-000006250.pt,obs_pred_err,5,4.2497639656066895
step-000006250.pt,obs_pred_err,6,3.1786551475524902
step-000006250.pt,obs_pred_err,7,3.8918447494506836
step-000006250.pt,obs_pred_err,8,3.1180667877197266
step-000006250.pt,obs_pred_err,9,4.421885013580322
step-000006250.pt,obs_pred_err,10,3.611002206802368
step-000012500.pt,abs_kl,-10,260.1748962402344
step-000012500.pt,abs_kl,-9,259.224853515625
step-000012500.pt,abs_kl,-8,261.6055908203125
step-000012500.pt,abs_kl,-7,263.13909912109375
step-000012500.pt,abs_kl,-6,260.08721923828125
step-000012500.pt,abs_kl,-5,259.6976623535156
step-000012500.pt,abs_kl,-4,262.525634765625
step-000012500.pt,abs_kl,-3,262.3285217285156
step-000012500.pt,abs_kl,-2,258.8020324707031
step-000012500.pt,abs_kl,-1,232.43997192382812
