ckpt,segment_index,segment_len
step-000006250.pt,0,228
step-000006250.pt,1,99
step-000006250.pt,2,106
step-000006250.pt,3,1
step-000006250.pt,4,238
step-000006250.pt,5,60
step-000006250.pt,6,239
step-000006250.pt,7,73
step-000006250.pt,8,239
step-000006250.pt,9,58
step-000006250.pt,10,1
step-000006250.pt,11,238
step-000006250.pt,12,102
step-000006250.pt,13,239
step-000006250.pt,14,27
step-000006250.pt,15,1
step-000006250.pt,16,238
step-000006250.pt,17,16
step-000006250.pt,18,1
step-000006250.pt,19,238
step-000006250.pt,20,24
step-000006250.pt,21,239
step-000006250.pt,22,116
step-000006250.pt,23,239
step-000006250.pt,24,40
step-000006250.pt,25,239
step-000006250.pt,26,60
step-000006250.pt,27,1
step-000006250.pt,28,238
step-000006250.pt,29,28
step-000006250.pt,30,239
step-000006250.pt,31,43
step-000006250.pt,32,239
step-000006250.pt,33,57
step-000006250.pt,34,239
step-000006250.pt,35,67
step-000006250.pt,36,239
step-000006250.pt,37,62
step-000006250.pt,38,239
step-000006250.pt,39,59
step-000006250.pt,40,239
step-000006250.pt,41,116
step-000006250.pt,42,1
step-000006250.pt,43,238
step-000006250.pt,44,157
step-000006250.pt,45,1
step-000006250.pt,46,238
step-000006250.pt,47,106
step-000006250.pt,48,239
step-000006250.pt,49,41
step-000006250.pt,50,1
step-000006250.pt,51,238
step-000006250.pt,52,169
step-000006250.pt,53,1
step-000006250.pt,54,238
step-000006250.pt,55,63
step-000006250.pt,56,239
step-000006250.pt,57,64
step-000006250.pt,58,1
step-000006250.pt,59,238
step-000006250.pt,60,20
step-000006250.pt,61,1
step-000006250.pt,62,238
step-000006250.pt,63,176
step-000006250.pt,64,1
step-000006250.pt,65,238
step-000006250.pt,66,20
step-000006250.pt,67,239
step-000006250.pt,68,145
step-000006250.pt,69,238
step-000006250.pt,70,17
step-000006250.pt,71,1
step-000006250.pt,72,238
step-000006250.pt,73,48
step-000006250.pt,74,239
step-000006250.pt,75,35
step-000006250.pt,76,239
step-000006250.pt,77,92
step-000006250.pt,78,239
step-000006250.pt,79,39
step-000006250.pt,80,239
step-000006250.pt,81,60
step-000006250.pt,82,239
step-000006250.pt,83,69
step-000006250.pt,84,1
step-000006250.pt,85,238
step-000006250.pt,86,116
step-000006250.pt,87,1
step-000006250.pt,88,238
step-000006250.pt,89,100
step-000006250.pt,90,239
step-000006250.pt,91,59
step-000006250.pt,92,1
step-000006250.pt,93,238
step-000006250.pt,94,118
step-000006250.pt,95,239
step-000006250.pt,96,62
step-000006250.pt,97,1
step-000006250.pt,98,238
step-000006250.pt,99,46
step-000006250.pt,100,239
step-000006250.pt,101,44
step-000006250.pt,102,1
step-000006250.pt,103,238
step-000006250.pt,104,87
step-000006250.pt,105,1
step-000006250.pt,106,238
