ckpt,step,abs_l2_mean,abs_stoch_l2_mean,abs_l2_read_mean,abs_stoch_l2_read_mean,boundary_rate,read_prob_mean
step-000006250,25000,0.6180394887924194,0.04888148233294487,6.181181907653809,6.438048839569092,0.007629347061219955,0.007697570603340864
step-000012500,50000,1.0682789087295532,0.04951006546616554,6.502631664276123,6.926277160644531,0.00718491907707122,0.0071863047778606415
step-000018750,75000,1.3717708587646484,0.05073811113834381,6.369626045227051,6.918834209442139,0.007370097403799859,0.007351265754550695
step-000025000,100000,1.4060401916503906,0.042325567454099655,6.061835765838623,6.493126392364502,0.006555312766193844,0.006562435999512672
step-000031250,125000,1.491507649421692,0.0404721237719059,6.041586875915527,6.3903350830078125,0.006370134439465205,0.0063013252802193165
step-000037500,150000,1.50006103515625,0.04335768520832062,5.477450847625732,5.882699489593506,0.0074071330691455875,0.007412534672766924
step-000043750,175000,1.5504705905914307,0.041419561952352524,5.39432430267334,5.764577865600586,0.007221954742416947,0.00721857650205493
step-000050000,200000,1.6340177059173584,0.04180285334587097,5.87905216217041,6.305459022521973,0.006666419762231028,0.006661726627498865
step-000056250,225000,1.6735023260116577,0.045031603425741196,5.9336934089660645,6.433085918426514,0.007036776415688308,0.0070348684675991535
step-000062500,250000,1.7151259183883667,0.041019245982170105,6.177102088928223,6.4767231941223145,0.006370134439465205,0.006379168480634689
step-000068750,275000,1.7822996377944946,0.04193703085184097,6.238488674163818,6.583138465881348,0.006407170104810933,0.006428328342735767
step-000075000,300000,1.7783434391021729,0.040990523993968964,6.185916900634766,6.510259628295898,0.006333098774119477,0.006301173474639654
step-000081250,325000,1.8441907167434692,0.04474121704697609,6.455089569091797,6.786589622497559,0.0066293840968853004,0.00662471866235137
step-000087500,350000,1.7087911367416382,0.037983350455760956,6.242754936218262,6.3305583000183105,0.0060368134513536535,0.0060435449704527855
step-000093750,375000,1.753432273864746,0.040979307144880295,6.422567367553711,6.625396251678467,0.0062219917780822935,0.006235170178115368
latest,400000,1.7665462493896484,0.0453667938709259,6.387591361999512,6.767422199249268,0.006740491092922484,0.0067460015416145325
step-000100000,400000,1.8238908052444458,0.0485517717897892,6.399658679962158,6.863339900970459,0.0071108477463797636,0.007048529572784901
